farmer_id,name,city,crop,avg_yield_tons,farm_size_acres,phone,wallet_balance
130,Farmer_130,Nagpur,Orange,6.8,9.0,900000130.0,22700.0
131,Farmer_131,Pune,Onion,6.1,6.0,900000131.0,19900.0
132,Farmer_132,Mumbai,Orange,6.7,9.0,900000132.0,22300.0
133,Farmer_133,Nagpur,Apple,7.6,10.0,900000133.0,26600.0
134,Farmer_134,Kolhapur,Orange,6.9,9.0,900000134.0,22800.0
135,Farmer_135,Indore,Wheat,4.6,7.0,900000135.0,19200.0
136,Farmer_136,Aurangabad,Potato,6.3,6.0,900000136.0,20700.0
137,Farmer_137,Bhopal,Onion,6.0,6.0,900000137.0,19600.0
138,Farmer_138,Aurangabad,Tomato,6.5,5.0,900000138.0,21800.0
139,Farmer_139,Ahmedabad,Soybean,4.9,8.0,900000139.0,18300.0
140,Farmer_140,Aurangabad,Apple,7.7,10.0,900000140.0,26800.0
141,Farmer_141,Ahmedabad,Tomato,6.4,5.0,900000141.0,21300.0
142,Farmer_142,Jaipur,Wheat,4.7,7.0,900000142.0,19500.0
143,Farmer_143,Nagpur,Tomato,6.5,5.0,900000143.0,21600.0
144,Farmer_144,Jaipur,Tomato,6.6,5.0,900000144.0,21900.0
145,Farmer_145,Nashik,Apple,7.6,10.0,900000145.0,26400.0
146,Farmer_146,Jaipur,Potato,6.2,6.0,900000146.0,20500.0
147,Farmer_147,Ahmedabad,Potato,6.3,6.0,900000147.0,20700.0
148,Farmer_148,Kolhapur,Tomato,6.4,5.0,900000148.0,21400.0
149,Farmer_149,Kolhapur,Orange,6.9,9.0,900000149.0,22900.0
150,Farmer_150,Indore,Soybean,4.8,8.0,900000150.0,18200.0
151,Farmer_151,Jaipur,Onion,6.1,6.0,900000151.0,19800.0
152,Farmer_152,Indore,Maize,5.1,7.0,900000152.0,18700.0
153,Farmer_153,Nagpur,Wheat,4.7,7.0,900000153.0,19400.0
154,Farmer_154,Jaipur,Soybean,4.9,8.0,900000154.0,18400.0
155,Farmer_155,Pune,Onion,6.0,6.0,900000155.0,19600.0
156,Farmer_156,Nashik,Maize,5.0,7.0,900000156.0,18600.0
157,Farmer_157,Mumbai,Orange,6.8,9.0,900000157.0,22700.0
158,Farmer_158,Kolhapur,Wheat,4.6,7.0,900000158.0,19300.0
159,Farmer_159,Jaipur,Apple,7.7,10.0,900000159.0,26700.0
160,Farmer_160,Jaipur,Potato,6.3,6.0,900000160.0,20600.0
161,Farmer_161,Ahmedabad,Onion,6.1,6.0,900000161.0,19800.0
162,Farmer_162,Kolhapur,Wheat,4.7,7.0,900000162.0,19400.0
163,Farmer_163,Nashik,Wheat,4.6,7.0,900000163.0,19200.0
164,Farmer_164,Aurangabad,Tomato,6.5,5.0,900000164.0,21800.0
165,Farmer_165,Jaipur,Apple,7.6,10.0,900000165.0,26500.0
166,Farmer_166,Ahmedabad,Potato,6.2,6.0,900000166.0,20500.0
167,Farmer_167,Mumbai,Wheat,4.7,7.0,900000167.0,19500.0
168,Farmer_168,Nagpur,Orange,6.9,9.0,900000168.0,22900.0
169,Farmer_169,Nashik,Maize,5.1,7.0,900000169.0,18700.0
170,Farmer_170,Pune,Apple,7.5,9.0,900000170.0,25800.0
171,Farmer_171,Aurangabad,Potato,6.3,6.0,900000171.0,20700.0
172,Farmer_172,Aurangabad,Maize,5.0,7.0,900000172.0,18600.0
173,Farmer_173,Nagpur,Potato,6.2,6.0,900000173.0,20400.0
174,Farmer_174,Ahmedabad,Maize,5.2,7.0,900000174.0,18900.0
175,Farmer_175,Ahmedabad,Orange,6.8,9.0,900000175.0,22700.0
176,Farmer_176,Mumbai,Maize,4.9,6.0,900000176.0,18200.0
177,Farmer_177,Bhopal,Orange,6.7,9.0,900000177.0,22500.0
178,Farmer_178,Pune,Tomato,6.5,5.0,900000178.0,21700.0
179,Farmer_179,Kolhapur,Apple,7.6,10.0,900000179.0,26400.0
180,Farmer_180,Pune,Onion,6.1,6.0,900000180.0,19900.0
181,Farmer_181,Aurangabad,Orange,6.8,9.0,900000181.0,22600.0
182,Farmer_182,Kolhapur,Onion,6.0,6.0,900000182.0,19700.0
183,Farmer_183,Ahmedabad,Soybean,4.9,8.0,900000183.0,18300.0
184,Farmer_184,Mumbai,Maize,4.8,6.0,900000184.0,18100.0
185,Farmer_185,Bhopal,Potato,6.3,6.0,900000185.0,20700.0
186,Farmer_186,Indore,Orange,6.9,9.0,900000186.0,22900.0
187,Farmer_187,Nagpur,Potato,6.2,6.0,900000187.0,20400.0
188,Farmer_188,Ahmedabad,Onion,6.1,6.0,900000188.0,19800.0
189,Farmer_189,Nagpur,Wheat,4.7,7.0,900000189.0,19400.0
190,Farmer_190,Nagpur,Soybean,4.8,8.0,900000190.0,18200.0
191,Farmer_191,Nagpur,Maize,5.1,7.0,900000191.0,18700.0
192,Farmer_192,Indore,Onion,6.0,6.0,900000192.0,19600.0
193,Farmer_193,Kolhapur,Wheat,4.6,7.0,900000193.0,19200.0
194,Farmer_194,Jaipur,Potato,6.3,6.0,900000194.0,20600.0
195,Farmer_195,Mumbai,Soybean,4.9,8.0,900000195.0,18400.0
196,Farmer_196,Indore,Apple,7.7,10.0,900000196.0,26800.0
197,Farmer_197,Nagpur,Wheat,4.7,7.0,900000197.0,19400.0
198,Farmer_198,Nagpur,Onion,6.1,6.0,900000198.0,19800.0
199,Farmer_199,Nashik,Wheat,4.6,7.0,900000199.0,19200.0
200,Farmer_200,Pune,Wheat,4.7,7.0,900000200.0,19500.0
201,Purva,Pune,rice,0.5,0.5,,
